이름,카테고리,도로명주소,지번주소,일반전화,안심번호,영업시간,썸네일이미지URL,방문자 리뷰수,방문자 평점,블로그 리뷰수,위도,경도,매장정보,부가설명,홈페이지URL,사진리뷰수,상세페이지URL,해시태그,created_at
마리나그란데,"스파게티,파스타전문",경기 수원시 영통구 대학1로58번길 13 . 1층 101호,경기도 수원시 영통구 이의동 1263-10 . 1층 101호,031-212-3902,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:00
15:00 - 17:30 브레이크타임
20:30 라스트오더수
11:00 - 21:00
15:00 - 17:30 브레이크타임
20:30 라스트오더목
11:00 - 21:00
15:00 - 17:30 브레이크타임
20:30 라스트오더금
11:00 - 21:00
15:00 - 17:30 브레이크타임
20:30 라스트오더토
11:00 - 21:00
15:00 - 17:30 브레이크타임
20:30 라스트오더일
정기휴무 (매주 일요일)월
11:00 - 21:00
15:00 - 17:30 브레이크타임
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20161128_22/1480300281124kKI96_JPEG/177075516824315_0.jpeg,59,4.32,57,37.2987973,127.0456866,"예약, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분",,http://marinagrande.modoo.at/,23,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/84373897,"파스타,스테이크,레스토랑,양식,피자",2024-01-09 22:27:51 +0900
벨리워치,양식,경기 수원시 장안구 금당로90번길 5 1층,경기도 수원시 장안구 조원동 459-25 1층,0507-1426-5957,,"영업 종료
11:30에 영업 시작
11시 30분에 영업 시작매일
11:30 - 21:30
15:30 - 17:00 브레이크타임
20:40 라스트오더- 브레이크타임 3시30분~5시
접기",https://ldb-phinf.pstatic.net/20231211_195/1702272830433qSpMg_JPEG/IMG_0652.JPG,49,,12,37.3007214,127.0201754,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 유아의자, 간편결제, 주차",,,33,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1598722971,"파스타,스테이크,수비드,연어스테이크,수원파스타",2024-01-09 22:27:52 +0900
맥도날드 동수원GSDT점,햄버거,경기 수원시 영통구 창룡대로 370,경기도 수원시 영통구 이의동 422-5,031-890-4000,,"24시간 영업
연중무휴
연중무휴매일
00:00 - 24:00
접기",https://ldb-phinf.pstatic.net/20200516_197/1589610622636XRo9B_JPEG/OoUKwyFxsInY8SzH0-tXEdIA.jpg,"2,696",4.41,186,37.294871400002,127.048467200001,"배달, 24시간, 드라이브스루, 시그니처버거",,https://www.mcdonalds.co.kr/,276,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/31373463,,2024-01-09 22:28:00 +0900
맘스터치 광교역점,햄버거,경기 수원시 영통구 대학3로 1 광교 K타워 1층 맘스터치,경기도 수원시 영통구 이의동 1254-2 K타워 1층,0507-1329-3459,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작화
10:30 - 21:30
21:00 라스트오더수
10:30 - 21:30
21:00 라스트오더목
10:30 - 21:30
21:00 라스트오더금
10:30 - 21:30
21:00 라스트오더토
10:30 - 21:30
21:00 라스트오더일
10:30 - 21:30
21:00 라스트오더월
10:30 - 21:30
21:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20230829_137/1693282401170BAq7o_PNG/%B7%CE%B0%ED_%C1%A4%B9%E6%C7%FC.png,387,4.49,20,37.29923596684024,127.04278730019071,"주차, 포장, 배달, 방문접수/출장, 무선 인터넷, 남/녀 화장실 구분, 예약",,https://momstouch.co.kr,68,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1262209700,"치킨,햄버거,패스트푸드,치킨버거,맛집",2024-01-09 22:28:03 +0900
올리브 1999,"스파게티,파스타전문",경기 수원시 영통구 센트럴파크로127번길 80-16 올리브1999,경기도 수원시 영통구 이의동 1305,0507-1461-4547,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 22:00
20:30 라스트오더수
11:00 - 22:00
20:30 라스트오더목
11:00 - 22:00
20:30 라스트오더금
11:00 - 22:00
20:30 라스트오더토
11:00 - 22:00
20:30 라스트오더일
11:00 - 22:00
20:30 라스트오더월
11:00 - 22:00
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20230607_50/1686144116553kaXwy_JPEG/1686144061738.jpg,248,4.43,321,37.294551308153615,127.05077135210493,"예약, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분",,,121,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/63352153,"수원파스타,수원스파게티,광교파스타,광교카페거리파스타,광교브런치",2024-01-09 22:28:04 +0900
광교수제버거 버거그라운드,햄버거,경기 수원시 영통구 대학3로 7 나보나스퀘어 1층 114호 버거그라운드,경기도 수원시 영통구 이의동 1254 나보나스퀘어 1층 114호 버거그라운드,0507-1427-8980,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더수
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더목(1/11)
휴무금(1/12)
휴무토(1/13)
휴무일(1/14)
휴무월
11:00 - 21:00
15:00 - 17:00 브레이크타임
20:30 라스트오더- 매주 일요일 후뮤
접기",https://ldb-phinf.pstatic.net/20220327_59/164837841631346pf6_JPEG/8CF32B12-9D9A-4D7F-A6FE-3E08F6040ED2.jpeg,278,,17,37.29982030090971,127.0421299,"주차, 포장, 남/녀 화장실 구분, 무선 인터넷, 배달, 예약",,"https://map.naver.com/v5/search/%EB%B2%84%EA%B1%B0%EA%B7%B8%EB%9D%BC%EC%9A%B4%EB%93%9C/place/1811779933?placePath=%3Fentry=pll%26from=nx%26fromNxList=true&placeSearchOption=entry=pll%26fromNxList=true&c=14141799.4267475,4480980.6755274,15,0,0,0,dh",158,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1811779933,"수제버거,햄버거,치즈버거,수제맥주,파스타",2024-01-09 22:28:06 +0900
팬케익 팬트리,브런치,경기 수원시 영통구 센트럴파크로127번길 80-2 1층,경기도 수원시 영통구 이의동 1305-7 1층,031-211-6161,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작화
10:30 - 19:00수
10:30 - 19:00목
정기휴무 (매주 목요일)금
10:30 - 19:00토
10:30 - 19:00일
10:30 - 19:00월
10:30 - 19:00
접기",https://ldb-phinf.pstatic.net/20220612_224/16550087628514ECsW_JPEG/20210525_151833.jpg,353,4.47,477,37.2944730980898,127.051979938593,,,,224,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/36982468,"브런치,팬케익,아메리카노",2024-01-09 22:28:07 +0900
부리또정거장,"멕시코,남미음식",경기 수원시 영통구 대학1로8번길 5 101호,경기도 수원시 영통구 이의동 1276-6 101호,0507-1431-0689,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작화
10:30 - 21:30수
10:30 - 21:30목
10:30 - 21:30금
10:30 - 21:30토
11:00 - 20:00일
정기휴무 (매주 일요일)월
10:30 - 21:30
접기",https://ldb-phinf.pstatic.net/20190321_131/1553154463109gFS7z_JPEG/nyQLXAZOIWVEL49WxyaGEu8k.jpg,92,4.63,25,37.297322223974604,127.04254968455457,"포장, 배달, 무선 인터넷, 간편결제",,,24,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1720854328,,2024-01-09 22:28:12 +0900
소마바이네이쳐,양식,경기 수원시 영통구 센트럴타운로 85 아브뉴프랑 c-122호 2층,경기도 수원시 영통구 이의동 1332,0507-1441-0057,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 22:00
15:00 - 17:00 브레이크타임수
11:00 - 22:00
15:00 - 17:00 브레이크타임목
11:00 - 22:00
15:00 - 17:00 브레이크타임금
11:00 - 22:00
15:00 - 17:00 브레이크타임토
11:00 - 22:00일
11:00 - 22:00월
11:00 - 22:00
15:00 - 17:00 브레이크타임
접기",https://ldb-phinf.pstatic.net/20180405_210/15229100252993uvoh_JPEG/7JI4AuwLY7XVc7tzOtFFa3ct.jpg,"1,317",4.57,582,37.291763685583796,127.05022627668359,"예약, 단체 이용 가능, 주차, 포장, 무선 인터넷",,http://somabynature.co.kr/,352,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/36674562,"스테이크,파스타,피자,리조또,와인",2024-01-09 22:28:16 +0900
호미스피자 광교점,피자,경기 수원시 영통구 도청로 95 지하1층 105호,경기도 수원시 영통구 이의동 1351-6 지하1층 105호,0507-1349-0124,,"영업 중
23:00에 영업 종료
23시 0분에 영업 종료화
11:00 - 23:00수(1/10)
정기휴무 (매달 2, 4번째 수요일)목
11:00 - 23:00금
11:00 - 23:00토
11:00 - 23:00일
11:00 - 23:00월
11:00 - 23:00매달 2, 4번째 수요일 정기 휴무
접기",https://ldb-phinf.pstatic.net/20230926_111/1695714161988kPwM7_JPEG/%B8%C5%C0%E5%C0%FC%B8%E92.jpg,28,,33,37.29094300000001,127.04795360000001,"포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 예약, 반려동물 동반, 주차",,,8,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1849683478,"피자,블랙맘바포테이토,호미스치즈,캘리포니아슈프림,베이컨체다딥",2024-01-09 22:28:18 +0900
롯데리아 수원연무점,햄버거,경기 수원시 장안구 창룡대로 197 1층,경기도 수원시 장안구 연무동 245-33 1층,0507-1419-3389,,"영업 중
23:40에 영업 종료
23시 40분에 영업 종료매일
09:00 - 23:40
접기",https://ldb-phinf.pstatic.net/20231107_165/1699339268581y67PC_JPEG/5._231012-%B1%F8%B5%C5%C8%C4-%C7%CF%B4%DC%B9%E8%B3%CA.jpg,466,4.45,19,37.29268289669018,127.03178998669885,"포장, 배달, 주차, 무선 인터넷, 남/녀 화장실 구분",,https://www.lotteria.com/,78,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/70056657,"패스트푸드,햄버거,치킨,한우불고기,새우",2024-01-09 22:28:19 +0900
롯데리아 경기대역점,햄버거,경기 수원시 영통구 대학4로 9 리치프라자2 1층,경기도 수원시 영통구 이의동 1250 리치프라자2 1층,0507-1425-0026,,"영업 종료
09:00에 영업 시작
9시 0분에 영업 시작매일
09:00 - 21:00
접기",https://ldb-phinf.pstatic.net/20231107_165/1699339268581y67PC_JPEG/5._231012-%B1%F8%B5%C5%C8%C4-%C7%CF%B4%DC%B9%E8%B3%CA.jpg,283,4.35,12,37.30067166953411,127.04556738953353,"단체 이용 가능, 주차, 포장, 무선 인터넷, 남/녀 화장실 구분",,https://www.lotteria.com/,55,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/38512253,"패스트푸드,햄버거,치킨,한우불고기,새우",2024-01-09 22:28:22 +0900
스탠딩스테이크 경기대점,"스테이크,립",경기 수원시 영통구 광교산로 154-42 경기대학교 수원캠퍼스 홍보관 1층,경기도 수원시 영통구 이의동 산130,031-243-5582,,"영업 중
23:00에 영업 종료
23시 0분에 영업 종료매일
11:30 - 23:00
접기",https://ldb-phinf.pstatic.net/20220713_220/165768346341307Qg2_JPEG/%BD%BA%C5%C4%B5%F9%BD%BA%C5%D7%C0%CC%C5%A9_BI.jpg,,,0,37.3024957,127.0335841,"포장, 배달",,http://www.mrbossam.co.kr/,,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/313402609,"스테이크,파스타,스테이크배달,치킨,스테이크맛집",2024-01-09 22:28:30 +0900
블루오즈,브런치,경기 수원시 영통구 센트럴파크로127번길 80-8,경기도 수원시 영통구 이의동 1305-4,0507-1349-4746,,"영업 종료
09:00에 영업 시작
9시 0분에 영업 시작화
09:00 - 18:00
16:00 라스트오더수
09:00 - 18:00
16:00 라스트오더목
09:00 - 18:00
16:00 라스트오더금
09:00 - 18:00
16:00 라스트오더토
09:00 - 18:00
16:00 라스트오더일
09:00 - 18:00
16:00 라스트오더월
정기휴무 (매주 월요일)- 브런치주문은 9시부터 16시까지 가능합니다:)
접기",https://naverbooking-phinf.pstatic.net/20230501_160/1682944132046rtJDh_JPEG/image.jpg,757,,402,37.2944789,127.0514505,"단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분, 유아의자, 주차",,https://www.instagram.com/blue_auz,609,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1792429425,"광교브런치,광교카페거리브런치,광교브런치카페,호주식브런치,수원브런치카페",2024-01-09 22:28:31 +0900
키친 토리노,양식,경기 수원시 영통구 대학로 10 1층 키친토리노,경기도 수원시 영통구 이의동 1275-11,0507-1415-2216,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:00수
11:00 - 21:00목
11:00 - 21:00금
11:00 - 21:00토
11:00 - 21:00일
11:00 - 21:00월
11:00 - 21:00매달 1, 3, 5번째 일요일 정기 휴무- 홀수째 일요일 휴무
접기",https://ldb-phinf.pstatic.net/20190328_273/1553752276655UkCmF_JPEG/480Klpvekm56l395ZvRnUBVr.jpg,30,4.53,20,37.29764288925827,127.04204647329713,"무선 인터넷, 남/녀 화장실 구분, 포장, 배달",,,16,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%96%91%EC%8B%9D/place/1976902545,"크림버섯치킨파스타,해산물토마토,파스타,리조또,크림파스타",2024-01-09 22:28:31 +0900
