이름,카테고리,도로명주소,지번주소,일반전화,안심번호,영업시간,썸네일이미지URL,방문자 리뷰수,방문자 평점,블로그 리뷰수,위도,경도,매장정보,부가설명,홈페이지URL,사진리뷰수,상세페이지URL,해시태그,created_at
춘천에서 온 숯닭,닭갈비,경기 수원시 영통구 대학로 12 춘천에서 온 숯닭,경기도 수원시 영통구 이의동 1275-10,0507-1400-8462,,"영업 중
21:20에 라스트오더
21시 20분에 라스트오더화
14:00 - 22:00
21:20 라스트오더수
14:00 - 22:00
21:20 라스트오더목
14:00 - 22:00
21:20 라스트오더금
14:00 - 22:00
21:20 라스트오더토
12:00 - 22:00
21:20 라스트오더일
12:00 - 21:00
20:20 라스트오더월
14:00 - 22:00
21:20 라스트오더- 일요일,공휴일 21시마감합니다.
접기",https://ldb-phinf.pstatic.net/20171101_258/1509527314792H80XQ_JPEG/B4SbDuyshCtYEbRXCH7RefsE.jpg,434,4.72,251,37.2977069,127.042292,"예약, 단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분, 방문접수/출장, 주차",,https://blog.naver.com/viakstudio,157,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/37520421,"닭목살,숯불닭갈비,무뼈닭발,닭갈비,막국수",2024-01-09 20:59:44 +0900
홍남매칼국수,"칼국수,만두",경기 수원시 장안구 광교산로 42,경기도 수원시 장안구 영화동 27-3,031-242-9599,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 15:00수
11:00 - 15:00목
11:00 - 15:00금
11:00 - 15:00토
11:00 - 15:00일
11:00 - 15:00월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20190102_210/1546413069261Xv1Br_JPEG/p0eHjPGKGmL_RbVG6kpXFyjZ.jpg,,4.5,458,37.29494931,127.0227808,"남/녀 화장실 구분, 무선 인터넷",,,,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1672700257,"칼국수,어린이칼국수,갈비만두,손칼국수",2024-01-09 20:59:50 +0900
홍두깨손칼국수,"칼국수,만두",경기 수원시 장안구 창훈로66번길 17 1층,경기도 수원시 장안구 연무동 11-25 1층,0507-1383-1441,,"영업 종료
10:00에 영업 시작
10시 0분에 영업 시작화
10:00 - 20:00수
10:00 - 20:00목
10:00 - 20:00금
10:00 - 20:00토
10:00 - 20:00일
10:00 - 20:00월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20220519_88/1652923537032ChLyI_JPEG/1651543679649.jpg,111,,76,37.2984413,127.028929,"주차, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분",,https://blog.naver.com/iceman300,51,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1809424525,"연무동칼국수,연무동수제비,연무동비빔국수,연무동콩국수,연무동밀냉면",2024-01-09 20:59:53 +0900
고반식당 광교월드스퀘어점,돼지고기구이,"경기 수원시 영통구 센트럴타운로 107 월드스퀘어 1층 05호,06호 (Gate 4)","경기도 수원시 영통구 이의동 1331 월드스퀘어 1층 05호,06호 (Gate 4)",0507-1305-8771,,"영업 중
22:15에 라스트오더
22시 15분에 라스트오더화
16:00 - 23:00
22:15 라스트오더수
16:00 - 23:00
22:15 라스트오더목
16:00 - 23:00
22:15 라스트오더금
16:00 - 23:00
22:15 라스트오더토
16:00 - 23:00
22:15 라스트오더일
16:00 - 23:00
22:15 라스트오더월
16:00 - 23:00
22:15 라스트오더
접기",https://ldb-phinf.pstatic.net/20231222_280/1703204367564F6mxf_JPEG/%BB%EF%B0%E3%BB%EC_%C0%FA%BF%EB%B7%AE.jpg,518,4.66,452,37.2917451,127.0476918,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 예약, 대기공간, 주차",,,240,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1950597058,"수원베스트10,광교중앙역삼겹살,광교중앙역고기집,광교삼겹살,광교중앙역고깃집",2024-01-09 20:59:56 +0900
정희 광교아브뉴프랑점,한식,"경기 수원시 영통구 센트럴타운로 85 1층 B110-1, 110-2호","경기도 수원시 영통구 이의동 1332 1층 B110-1, 110-2호",0507-1423-2998,,"곧 영업 종료
21:00에 영업 종료
21시 0분에 영업 종료매일
11:00 - 21:00
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20231216_231/17026915676280XciQ_JPEG/%BF%DC%B0%FC%BB%E7%C1%F8.jpg,37,,14,37.2908214,127.0501007,"단체 이용 가능, 무선 인터넷, 유아의자, 남/녀 화장실 구분, 대기공간, 주차",,,21,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1977057224,"한식,퓨전한식,쌈밥,수제비,칼국수",2024-01-09 20:59:59 +0900
황금고래,조개요리,경기 수원시 영통구 대학로 20 1층 101호,경기도 수원시 영통구 이의동 1275-4 1층 101호,0507-1498-1258,,"영업 중
23:00에 영업 종료
23시 0분에 영업 종료화
17:00 - 23:00수
17:00 - 23:00목
17:00 - 23:00금
17:00 - 23:00토
12:00 - 23:00일
12:00 - 23:00월
17:00 - 23:00
접기",https://ldb-phinf.pstatic.net/20231027_267/1698385003323tszNy_JPEG/KakaoTalk_20231027_113711376_03.jpg,27,,38,37.2983185,127.0427435,"단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 주차",,https://www.instagram.com/goldwhale_official/,22,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1254676769,"조개찜,조개구이,수원역,광교역,조개요리",2024-01-09 21:00:00 +0900
장비빔국수와 굴국밥 보쌈 수원본점,한식,경기 수원시 장안구 수원천로 439,경기도 수원시 장안구 영화동 380-9,050-7987-5494,,"영업 중
21:00에 라스트오더
21시 0분에 라스트오더매일
11:30 - 22:00
21:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20221003_62/1664793469765lpcPC_JPEG/Screenshot_20221003_193727_TISTORY.jpg,414,4.11,360,37.29178256,127.0212089,"단체 이용 가능, 주차, 발렛파킹, 무선 인터넷, 남/녀 화장실 구분",,https://blog.naver.com/ssong10921,83,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1004699369,"보쌈,비빔국수,굴국밥,들깨수제비,매생이굴국밥",2024-01-09 21:00:02 +0900
어랑다랑,생선회,경기 수원시 영통구 대학1로 20,경기도 수원시 영통구 이의동 1274-5,031-211-8844,,"영업 중
22:00에 라스트오더
22시 0분에 라스트오더화
17:00 - 23:00
22:00 라스트오더수
17:00 - 23:00
22:00 라스트오더목
17:00 - 23:00
22:00 라스트오더금
17:00 - 23:00
22:00 라스트오더토
17:00 - 23:00
22:00 라스트오더일
정기휴무 (매주 일요일)월
17:00 - 23:00
22:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20240106_82/1704541750663X77YY_JPEG/20231215_231226.jpg,60,4.4,274,37.29819577,127.0432023,"예약, 단체 이용 가능, 주차, 포장, 남/녀 화장실 구분, 배달, 무선 인터넷",,https://blog.naver.com/kimbs8844,36,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/37486060,"활어회,초밥,매운탕,참다랑어,참치",2024-01-09 21:00:04 +0900
개성손만두 수원월드컵점,"칼국수,만두",경기 수원시 팔달구 월드컵로 319 개성손만두 수원월드컵점,경기도 수원시 팔달구 우만동 518-1 개성손만두 수원월드컵점,031-241-0222,,"영업 종료
09:00에 영업 시작
9시 0분에 영업 시작화
09:00 - 21:00수
09:00 - 21:00목
09:00 - 21:00금
09:00 - 21:00토
09:00 - 21:00일
09:00 - 21:00월
09:00 - 21:00- 명절 당일포함 2일 휴무
접기",https://ldb-phinf.pstatic.net/20221102_159/1667352706591RCX9e_JPEG/in-1.jpg,637,4.39,149,37.2865975,127.0337843,"예약, 포장, 무선 인터넷, 단체 이용 가능, 주차",,http://www.365food.com/gsms,131,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1301127452,"수제만두,만두전골,칼국수,손만두,봉녕사",2024-01-09 21:00:13 +0900
조선부뚜막 광교역점,"육류,고기요리",경기 수원시 영통구 대학1로8번길 45 1층,경기도 수원시 영통구 이의동 1272-2 1층,0507-1365-9849,,"영업 중
22:30에 라스트오더
22시 30분에 라스트오더화
16:00 - 23:00
22:30 라스트오더수
16:00 - 23:00
22:30 라스트오더목
16:00 - 23:00
22:30 라스트오더금
16:00 - 23:00
22:30 라스트오더토
11:00 - 23:00
22:30 라스트오더일
11:00 - 23:00
22:30 라스트오더월
16:00 - 23:00
22:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20231205_283/1701772294288QamEk_JPEG/%C1%B6%BC%B1%BA%CE%B6%D1%B8%B7_%B1%A4%B1%B3%BF%AA_%B0%E6%B1%E2%B4%EB_%BB%EF%B0%E3%BB%EC_%C8%B8%BD%C421.jpg,389,,185,37.2985609,127.0439639,"단체 이용 가능, 포장, 예약, 무선 인터넷, 대기공간, 주차",,,282,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1483250944,"삼겹살,목살,솥뚜껑,소고기,한우",2024-01-09 21:00:15 +0900
상원회관,소고기구이,경기 수원시 영통구 대학1로 12 1층,경기도 수원시 영통구 이의동 1276-9 1층,031-214-2580,,"영업 중
21:00에 라스트오더
21시 0분에 라스트오더화
11:30 - 22:00
21:00 라스트오더수
11:30 - 22:00
21:00 라스트오더목
11:30 - 22:00
21:00 라스트오더금
11:30 - 22:00
21:00 라스트오더토
11:30 - 22:00
21:00 라스트오더일
11:30 - 21:00
20:00 라스트오더월
11:30 - 22:00
21:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20230323_202/1679543534481XvSFB_JPEG/20221119_113402-02.jpeg,"1,610",4.92,187,37.2976081,127.0426603,"단체 이용 가능, 포장, 남/녀 화장실 구분, 예약, 무선 인터넷, 주차",,,"1,202",https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1725971291,"광교한우,광교소고기,광교고기집,수원소고기,수원한우",2024-01-09 21:00:18 +0900
예전각설렁탕,"곰탕,설렁탕",경기 수원시 장안구 경수대로 813,경기도 수원시 장안구 영화동 97-9,031-245-2003,,"24시간 영업
연중무휴
연중무휴매일
00:00 - 24:00
접기",http://blogfiles.naver.net/MjAxNzAzMDFfMjgx/MDAxNDg4MzU0NDcxMDIz.U36k6LCcjnHX1KnTMF36vaaY8xGY0vZPZpS9pNCS1CQg.cmbz1I2pYv9mQ8P6bmTXtNOmijL8jiExexUyB7th9VEg.JPEG.9400rpm/%BC%F6%BF%F8_%BF%B9%C0%FC%B0%A2_%BC%B3%B7%B7%C5%C1_%285%29.jpg#960x540,846,4.39,242,37.29418703,127.0169432,"예약, 단체 이용 가능, 주차, 포장",,,132,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/38462922,"설렁탕,통도가니탕,갈비탕,수육,막국수",2024-01-09 21:00:18 +0900
명륜진사갈비 수원광교점,"육류,고기요리",경기 수원시 영통구 센트럴타운로 111 2층 명륜진사갈비 광교점,경기도 수원시 영통구 이의동 1330 2층 명륜진사갈비 광교점,031-213-9295,,"영업 중
21:00에 라스트오더
21시 0분에 라스트오더화
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더수
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더목
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더금
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더토
11:30 - 22:00
21:00 라스트오더일
11:30 - 22:00
21:00 라스트오더월
11:30 - 22:00
15:00 - 17:00 브레이크타임
21:00 라스트오더- 매일 저녁9시 라스트오더 및 입장마감입니다
접기",https://ldb-phinf.pstatic.net/20221228_262/1672186888662rv8xD_JPEG/KakaoTalk_20221227_181003568_28.jpg,247,,260,37.29256015,127.0491307,"단체 이용 가능, 주차, 무선 인터넷",,https://blog.naver.com/jinsafd,52,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1451972784,"명륜진사갈비,광교무한리필,명륜진사갈비광교,무한리필,돼지갈비",2024-01-09 21:00:20 +0900
어부가,"해물,생선요리",경기 수원시 영통구 대학1로64번길 46 1층,경기도 수원시 영통구 이의동 1261-9 1층,031-211-1911,,"영업 중
24:00에 영업 종료
0시 0분에 영업 종료화
10:00 - 24:00수
10:00 - 24:00목
10:00 - 24:00금
10:00 - 24:00토
10:00 - 24:00일(1/14)
정기휴무 (격주 일요일)월
10:00 - 24:00격주 일요일 정기 휴무
접기",https://ldb-phinf.pstatic.net/20231114_141/1699955091638W2dtz_JPEG/temp_file.jpg,66,,49,37.2988728,127.0444565,"무선 인터넷, 예약, 단체 이용 가능, 주차, 남/녀 화장실 구분, 포장, 반려동물 동반, 유아의자",,https://www.instagram.com/a_buga_real/,51,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/1221779298,"광교생선구이,광교해물파전,광교매운탕,광교해산물,광교식당",2024-01-09 21:00:23 +0900
하남돼지집 광교아브뉴프랑점,돼지고기구이,경기 수원시 영통구 센트럴타운로 85 광교아브뉴프랑 C121호,경기도 수원시 영통구 이의동 1332,0507-1489-8284,,"영업 중
21:50에 라스트오더
21시 50분에 라스트오더화
17:00 - 22:50
21:50 라스트오더수
17:00 - 22:50
21:50 라스트오더목
17:00 - 22:50
21:50 라스트오더금
17:00 - 22:50
21:50 라스트오더토
17:00 - 22:50
21:50 라스트오더일
17:00 - 22:50
21:50 라스트오더월
17:00 - 22:50
21:50 라스트오더
접기",https://ldb-phinf.pstatic.net/20231012_229/16971107389133ltQd_JPEG/temp_file.jpg,378,,218,37.2916708,127.0504516,"단체 이용 가능, 포장, 남/녀 화장실 구분, 무선 인터넷, 예약, 배달, 주차",,,171,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%ED%95%9C%EC%8B%9D/place/36547594,"광교고기집,삼겹살,광교호수공원,광교삼겹살,광교회식",2024-01-09 21:00:23 +0900
