이름,카테고리,도로명주소,지번주소,일반전화,안심번호,영업시간,썸네일이미지URL,방문자 리뷰수,방문자 평점,블로그 리뷰수,위도,경도,매장정보,부가설명,홈페이지URL,사진리뷰수,상세페이지URL,해시태그,created_at
루지면관,중식당,경기 수원시 영통구 센트럴파크로127번길 54,경기도 수원시 영통구 이의동 1306-8,0507-1448-3344,,"오늘 휴무
매주 화요일 휴무
매주 화요일 휴무화
정기휴무 (매주 화요일)수
11:30 - 20:30
14:30 - 17:30 브레이크타임
19:30 라스트오더목
11:30 - 20:30
14:30 - 17:30 브레이크타임
19:30 라스트오더금
11:30 - 20:30
14:30 - 17:30 브레이크타임
19:30 라스트오더토
11:30 - 20:30
19:30 라스트오더일
11:30 - 20:30
19:30 라스트오더월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20190831_120/1567255126423R4ol8_JPEG/3cNxOWsn418FK8wA45ZwDYYX.jpeg.jpg,97,,196,37.2946793,127.0534585,"무선 인터넷, 남/녀 화장실 구분",,http://instagram.com/luji_tantan,47,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1095902225,"마라우육면,탄탄면,마파두부,옥수수전병,목이버섯냉채",2024-01-09 21:13:24 +0900
불라라 마라탕 수원본점,중식당,경기 수원시 영통구 대학로 40 109호 파인렉스1차 오피스텔,경기도 수원시 영통구 이의동 1258-3 109호 파인렉스1차 오피스텔,031-212-5914,,"영업 중
23:40에 라스트오더
23시 40분에 라스트오더화
10:30 - 24:00
23:40 라스트오더수
10:30 - 24:00
23:40 라스트오더목
10:30 - 24:00
23:40 라스트오더금
10:30 - 24:00
23:40 라스트오더토
11:00 - 24:00
23:40 라스트오더일
11:00 - 24:00
23:40 라스트오더월
10:30 - 24:00
23:40 라스트오더- 연중무휴
접기",https://ldb-phinf.pstatic.net/20230525_144/1684946097061w1hQ8_JPEG/IMG_7802.jpeg,341,,45,37.2997552,127.044124,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 주차",,,153,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1240924521,"마라탕,중식,경기대마라탕,마라샹궈,수원마라탕",2024-01-09 21:13:28 +0900
태양부양꼬치 광교점,양꼬치,경기 수원시 영통구 대학1로 36 1층,경기도 수원시 영통구 이의동 1260-7 1층,0507-1331-6666,,"영업 중
23:00에 영업 종료
23시 0분에 영업 종료화
12:00 - 23:00수
12:00 - 23:00목
12:00 - 23:00금
12:00 - 23:00토
12:00 - 23:00일
17:00 - 23:00월
12:00 - 23:00
접기",https://ldb-phinf.pstatic.net/20200406_225/1586151923256W6g4a_PNG/TdyaVKYLVlyTzaHG3FZ0URvT.png,184,4.56,75,37.2994441,127.0443136,"주차, 포장, 예약, 무선 인터넷, 단체 이용 가능",,https://6662.modoo.at,67,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1588452505,"광교동양꼬치,광교양꼬치,광교양갈비,태양부양꼬치,광교동양갈비",2024-01-09 21:13:28 +0900
오늘중식GO,중식당,경기 수원시 영통구 센트럴파크로127번길 105-2 1층,경기도 수원시 영통구 이의동 1310-6 1층,0507-1325-4205,,"영업 중
21:30에 영업 종료
21시 30분에 영업 종료매일
09:40 - 21:30
접기",https://ldb-phinf.pstatic.net/20210617_188/16238928456298XfBo_JPEG/oVE_c2DwQAMDxhvPmiRU1SW4.jpg,136,4.27,18,37.29401493,127.05324412,"단체 이용 가능, 예약, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분",,https://0312154205go.modoo.at,25,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1954665955,"광교짬뽕,수원짜장,광교중식,광교중국집,수원짬뽕",2024-01-09 21:13:29 +0900
경성중화주점,중식당,경기 수원시 장안구 연무로 35 번길,경기도 수원시 장안구 연무동 237-12 번길,0507-1303-1868,,"영업 중
01:00에 영업 종료
1시 0분에 영업 종료화
17:00 - 01:00수
17:00 - 01:00목
17:00 - 01:00금
17:00 - 01:00토
17:00 - 01:00일
정기휴무 (매주 일요일)월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20191110_89/1573369614923BlyF8_JPEG/aFoLxUQIbmxg20NiTJIaI4eg.jpeg.jpg,13,4.6,46,37.29465576569658,127.02738147830696,"예약, 포장, 무선 인터넷, 단체 이용 가능",,http://www.instagram.com/tvman78,7,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1047653161,"탕수육,칠리새우,깐풍기,유린기,양장피",2024-01-09 21:13:37 +0900
경기대 수련반점,중식당,경기 수원시 영통구 대학로 10,경기도 수원시 영통구 이의동 1275-11,0507-1332-8256,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작매일
10:30 - 21:00
접기",https://ldb-phinf.pstatic.net/20200122_145/1579678548403Se1E6_JPEG/v0RR2-M1X5bp3TJ8rfbaANKt.jpg,158,4.43,18,37.29757075201995,127.04197263112599,,,,19,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1076284184,"유니짜장,짬뽕,찹쌀탕수육,중화비빔밥,쟁반짜장",2024-01-09 21:13:37 +0900
관우성,중식당,경기 수원시 장안구 연무로42번길 45,경기도 수원시 장안구 연무동 216-20,031-244-7893,,"영업 중
22:00에 영업 종료
22시 0분에 영업 종료화
10:00 - 22:00수
정기휴무 (매주 수요일)목
10:00 - 22:00금
10:00 - 22:00토
10:00 - 22:00일
10:00 - 22:00월
10:00 - 22:00
접기",https://ldb-phinf.pstatic.net/20190130_15/1548839458954FNFWq_JPEG/vSgAYhsQjvvzGlUKRudOqHc7.JPG.jpg,69,4.3,11,37.29676562677321,127.02797674683765,,,,11,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1842429921,,2024-01-09 21:13:42 +0900
중화식탁,중식당,경기 수원시 영통구 대학3로4번길 7 L109.110,경기도 수원시 영통구 이의동 1256-3 L109.110,0507-1385-1263,,"영업 중
23:00에 라스트오더
23시 0분에 라스트오더매일
10:30 - 23:30
23:00 라스트오더
접기",https://ldb-phinf.pstatic.net/20231125_22/1700889675302mSR9a_JPEG/20231025_204757.jpg,9,,2,37.2998990315114,127.04291982729907,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분, 간편결제, 주차",,,7,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1719211427,"짜장면,짬뽕,볶음밥,찹쌀발효탕수육",2024-01-09 21:13:42 +0900
훠궈야 광교아브뉴프랑점,중식당,경기 수원시 영통구 센트럴타운로 85 2층,경기도 수원시 영통구 이의동 1332 2층,031-217-3365,,"영업 중
21:00에 라스트오더
21시 0분에 라스트오더매일
11:00 - 22:00
21:00 라스트오더- 런치타임 (11:00~15:00 까지)
접기",https://ldb-phinf.pstatic.net/20161227_84/1482832387501Ad67k_JPEG/177177588326818_0.jpeg,245,4.27,400,37.290061037704426,127.050135683093,"예약, 단체 이용 가능, 주차, 포장, 무선 인터넷, 남/녀 화장실 구분",,http://huoguoya.co.kr,69,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/716649222,"훠궈전문점,샤브샤브,중국식샤브샤브,훠궈,마라샹궈",2024-01-09 21:13:46 +0900
수양화로,양꼬치,경기 수원시 장안구 조원로 75,경기도 수원시 장안구 조원동 742-5,0507-1367-8102,,"영업 중
23:00에 라스트오더
23시 0분에 라스트오더화
17:00 - 24:00
23:00 라스트오더수
17:00 - 24:00
23:00 라스트오더목
17:00 - 24:00
23:00 라스트오더금
17:00 - 24:00
23:00 라스트오더토
17:00 - 24:00
23:00 라스트오더일(1/14)
정기휴무 (격주 일요일)월
17:00 - 24:00
23:00 라스트오더격주 일요일 정기 휴무- 고기소진시 조기마감
접기",https://ldb-phinf.pstatic.net/20231227_249/1703650833916A8fnU_JPEG/%B8%ED%C7%D4_%BC%F6%BE%E7%C8%AD%B7%CE_%C3%D6%C1%BE_%BE%D5%B8%E9.jpg,308,4.97,24,37.3000306,127.0167436,"무선 인터넷, 주차",,,178,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1208046344,"양꼬치,양갈비,꿔바로우,마라탕,땡큐양꼬치",2024-01-09 21:13:46 +0900
이가네양꼬치 광교점,양꼬치,경기 수원시 영통구 센트럴타운로 85 CB33-34호,경기도 수원시 영통구 이의동 1332 CB33-34호,0507-1415-8809,,"영업 중
24:00에 영업 종료
0시 0분에 영업 종료매일
12:00 - 24:00
접기",https://ldb-phinf.pstatic.net/20220513_141/1652416167681Pwsrk_JPEG/693D32F4-88B4-4E76-A8C4-2E9A83CE650B.jpeg,193,,846,37.291525299709114,127.0507591732883,"단체 이용 가능, 주차, 포장, 예약",,,79,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1643081418,"광교양꼬치,광교양갈비,영통양꼬치,영통양갈비,이가네양꼬치",2024-01-09 21:13:50 +0900
마라정사부,마라탕,"경기 수원시 영통구 웰빙타운로49번길 36 1층 105호, 106호","경기도 수원시 영통구 이의동 1204-8 1층 105호, 106호",0507-1404-0703,,"영업 중
21:30에 라스트오더
21시 30분에 라스트오더화
11:00 - 22:00
21:30 라스트오더수
11:00 - 22:00
21:30 라스트오더목
11:00 - 22:00
21:30 라스트오더금
11:00 - 22:00
21:30 라스트오더토
11:00 - 22:00
21:30 라스트오더일
11:00 - 22:00
21:30 라스트오더월
정기휴무 (매주 월요일)
접기",https://ldb-phinf.pstatic.net/20231026_69/1698302206530U3Cd1_JPEG/20231026_153349.jpg,29,,2,37.3039667,127.0471593,"단체 이용 가능, 포장, 배달, 무선 인터넷, 남/녀 화장실 구분, 간편결제, 주차",,,14,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1183430532,"마라탕,마라샹궈,꿔바로우,광교마라탕,중식",2024-01-09 21:13:53 +0900
1080마라탕,중식당,경기 수원시 영통구 센트럴타운로 107 204동 B02호 1080 마라탕,경기도 수원시 영통구 이의동 1331 204동 B02호 1080 마라탕,0507-1476-8007,,"영업 중
21:30에 영업 종료
21시 30분에 영업 종료매일
11:00 - 21:30
접기",https://ldb-phinf.pstatic.net/20230705_282/1688566631207JqAlp_JPEG/IMG_6632.jpeg,247,4.5,58,37.29180439388139,127.049479421104,,,,65,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1871077926,,2024-01-09 21:13:56 +0900
황짬뽕,중식당,경기 수원시 장안구 창룡대로 193 지하(연무동),경기도 수원시 장안구 연무동 245-32 지하(),031-253-2929,,"영업 중
24:00에 영업 종료
0시 0분에 영업 종료매일
09:00 - 24:00- 재고소진시 조기종료
접기",https://ldb-phinf.pstatic.net/20200420_249/1587390002198Xz5rD_JPEG/wabs1AhlkNTKoS962UkzPxNJ.jpg,117,4.29,10,37.29268136,127.03113506,,,,10,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1955770574,,2024-01-09 21:13:59 +0900
궁차이나,중식당,경기 수원시 팔달구 월드컵로 379,경기도 수원시 팔달구 우만동 466,031-224-7745,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작매일
10:30 - 20:30
접기",https://ldb-phinf.pstatic.net/20161011_273/14761514261777sOmd_JPEG/176961513365648_0.jpeg,20,4.67,3,37.29089612784092,127.02963497506455,"예약, 포장, 배달",,,2,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/36379621,"세트메뉴,짜장면,탕수육,코스요리,짬짜면",2024-01-09 21:14:04 +0900
장강뚝배기짬뽕,중식당,경기 수원시 장안구 연무로 50,경기도 수원시 장안구 연무동 233-15,031-258-3008,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작매일
10:30 - 20:50
접기",https://ldb-phinf.pstatic.net/20200815_215/1597461631583RYX5R_JPEG/ormeBw_5xA1FhX5MZU9Knyjz.jpg,64,4.3,13,37.29549037366193,127.02626739962902,,,,13,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1506918966,,2024-01-09 21:14:07 +0900
마라타임마라탕 광교점,마라탕,경기 수원시 영통구 대학로 34 1층 104호,경기도 수원시 영통구 이의동 1258-4 1층 104호,0507-1311-1074,,"영업 종료
11:00에 영업 시작
11시 0분에 영업 시작화
11:00 - 21:00수
11:00 - 21:00목
11:00 - 21:00금
11:00 - 21:00토
정기휴무 (매주 토요일)일
11:00 - 20:00월
11:00 - 21:00
접기",https://ldb-phinf.pstatic.net/20230626_128/1687760772040Ym8Fe_JPEG/image.jpg,21,,2,37.2992617,127.0436433,"주차, 포장, 배달, 무선 인터넷, 예약, 남/녀 화장실 구분",,,11,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1691273517,"마라타임마라탕,마라탕,꿔보러우",2024-01-09 21:14:11 +0900
오한수 우육면가,중식당,"경기 수원시 영통구 센트럴타운로 85 203동 2층 B217,218호","경기도 수원시 영통구 이의동 1332 203동 2층 B217,218호",031-214-8555,,"영업 종료
10:30에 영업 시작
10시 30분에 영업 시작화
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더수
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더목
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더금
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더토
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더일
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더월
10:30 - 21:00
15:30 - 16:30 브레이크타임
20:30 라스트오더
접기",https://ldb-phinf.pstatic.net/20220825_260/1661424545294ilRCN_JPEG/%BF%EC%C0%B0%B8%E9%B0%A1_%BB%E7%C1%F8.jpg,103,,49,37.290623876783535,127.05010121625332,"포장, 무선 인터넷, 주차",,,49,https://map.naver.com/p/search/%EA%B2%BD%EA%B8%B0%EB%8C%80%20%EC%88%98%EC%9B%90%EC%BA%A0%ED%8D%BC%EC%8A%A4%20%EC%A4%91%EC%8B%9D/place/1810513841,"우육면,만두,완탕면,청경채도가니탕,멘보샤",2024-01-09 21:14:15 +0900
